id,category,difficulty,prompt,,
1,Scale,1,Make a simple cube that is 50mm per side,,
2,Scale,2,Make a cylinder that is 100mm tall with a 20mm radius,,
3,Hollow/Thin,1,Make a hollow box with 5mm thick walls,,
4,Hollow/Thin,2,Make a hollow cylinder with 4mm thick walls,,
5,Bracket/Holes,1,Create a basic L-bracket without any mounting holes,,
6,Bracket/Holes,2,Make a simple flat bracket with one centered hole,,
7,Stability,1,Make a basic block standing on its widest face,,
8,Stability,2,Create a simple cylinder standing upright on its flat end,,
9,Overhangs,1,Make a small step that overhangs by 5mm,,
10,Overhangs,2,Create a ledge that overhangs by 15mm,,
11,Control,1,Make a basic 50x50x5mm plate,,
12,Control,2,Create a simple cylinder with a radius of 10 and height of 20,,
13,Adhesion,1,Make a 20mm cube sitting flat on a large base,,
14,Adhesion,2,Create a box with a wide flat bottom resting normally on the build plate,,
