id,category,difficulty,prompt,,
1,Scale,1,Make a simple cube that is 50mm per side,,
2,Scale,2,Make a cylinder that is 100mm tall with a 20mm radius,,
3,Scale,3,Make a box that is 300mm wide,,
4,Scale,4,Create a cone that is only 5mm tall,,
5,Scale,5,Make a sphere with a 500mm diameter,,
6,Scale,6,Create a gear that is only 2mm in diameter,,
7,Scale,7,Make a rod that is 1000mm long,,
8,Scale,8,Create a pin that is 1mm in diameter and 50mm long,,
9,Scale,9,Make a flat plate that is 1500mm by 1500mm,,
10,Scale,10,Create a tiny washer that is 0.5mm thick,,
11,Scale,11,Make a cylinder with a radius of only 0.1mm,,
12,Scale,12,Create a tower that is 2000mm tall with a 20mm wide base,,
13,Scale,13,Make a micro gear with teeth only 0.05mm across,,
14,Scale,14,Create a part that is only 0.01mm thick overall,,
15,Scale,15,Design a bracket with an arm 800mm long ending in a tab only 1mm thick,,
16,Scale,16,Make a model with a 3000mm wide base and surface texture only 0.05mm tall,,
17,Scale,17,Create a part that spans from 0.001mm fine features up to a 100mm body,,
18,Scale,18,Design an assembly mixing a 5000mm long beam with 0.01mm diameter pins,,
19,Scale,19,Make a structure with a 10000mm span that includes 0.001mm wall accents,,
20,Scale,20,Create a model with a 0.0005mm feature embedded inside a 50000mm structure,,
21,Hollow/Thin,1,Make a hollow box with 5mm thick walls,,
22,Hollow/Thin,2,Make a hollow cylinder with 4mm thick walls,,
23,Hollow/Thin,3,Create a vase with 3mm thick walls,,
24,Hollow/Thin,4,Make a bowl with 2mm thick walls,,
25,Hollow/Thin,5,Create a cup with 1.5mm thick walls,,
26,Hollow/Thin,6,Make a hollow sphere with 1mm thick walls,,
27,Hollow/Thin,7,Create a thin-walled tube with 0.8mm thick walls,,
28,Hollow/Thin,8,Make a lampshade with 0.6mm thick walls,,
29,Hollow/Thin,9,Create a hollow vase with 0.5mm thick walls,,
30,Hollow/Thin,10,Make a thin container with 0.4mm thick walls,,
31,Hollow/Thin,11,Create a cup with exactly 0.3mm thick walls,,
32,Hollow/Thin,12,Make a hollow ornament with 0.2mm thick walls,,
33,Hollow/Thin,13,Create a thin-walled enclosure with 0.15mm thick walls,,
34,Hollow/Thin,14,Make a vase with internal ribs only 0.1mm thick,,
35,Hollow/Thin,15,Create a nested double-wall shell where each wall is 0.08mm thick,,
36,Hollow/Thin,16,Make a hollow lattice sphere with struts only 0.05mm thick,,
37,Hollow/Thin,17,Create a thin shell with varying thickness that drops to 0.03mm in places,,
38,Hollow/Thin,18,Make a multi-chamber hollow part with dividing walls only 0.02mm thick,,
39,Hollow/Thin,19,Create a thin-walled honeycomb structure with cell walls only 0.01mm thick,,
40,Hollow/Thin,20,Design a fully hollow nested triple-shell part with every wall under 0.005mm thick,,
41,Bracket/Holes,1,Create a basic L-bracket without any mounting holes,,
42,Bracket/Holes,2,Make a simple flat bracket with one centered hole,,
43,Bracket/Holes,3,Create a U-bracket with two mounting holes,,
44,Bracket/Holes,4,Make a bracket with a screw hole positioned near the outer edge,,
45,Bracket/Holes,5,Create a mounting plate with four corner holes,,
46,Bracket/Holes,6,Make an L-bracket with a slot instead of a round hole,,
47,Bracket/Holes,7,Create a bracket with a hole that partially overlaps the outside edge,,
48,Bracket/Holes,8,Make a bracket with two mounting holes placed very close together,,
49,Bracket/Holes,9,Create a thin bracket with a hole that is large relative to the bracket's width,,
50,Bracket/Holes,10,Make a bracket with a hole positioned right where a fillet is needed,,
51,Bracket/Holes,11,Create a bracket where one hole intersects another hole,,
52,Bracket/Holes,12,Make a multi-arm bracket with a hole at the tip of each arm,,
53,Bracket/Holes,13,Create a bracket with a hole that spans across a thin connecting web,,
54,Bracket/Holes,14,Make a bracket with several holes clustered tightly into one corner,,
55,Bracket/Holes,15,Create a bracket with an elongated slot that crosses the outer edge,,
56,Bracket/Holes,16,Make a bracket with overlapping countersunk and through-holes,,
57,Bracket/Holes,17,Create a bracket with holes that leave only 0.2mm of material between them,,
58,Bracket/Holes,18,Make a complex bracket with holes that intersect each other at multiple angles,,
59,Bracket/Holes,19,Create a bracket where several holes overlap both each other and the outer boundary,,
60,Bracket/Holes,20,Design a bracket with a dense grid of holes leaving wall thicknesses under 0.1mm between them,,
61,Stability,1,Make a basic block standing on its widest face,,
62,Stability,2,Create a simple cylinder standing upright on its flat end,,
63,Stability,3,Make a box that is twice as tall as it is wide,,
64,Stability,4,Create a pillar that is three times taller than its base,,
65,Stability,5,Make a tall thin rod five times taller than its base,,
66,Stability,6,Create a T-shape with a moderately narrow base,,
67,Stability,7,Make a T-shape desk toy with a 100mm wide top and a 1mm wide bottom base,,
68,Stability,8,Create an inverted truncated cone that is narrow at the bottom,,
69,Stability,9,Make a top-heavy dumbbell shape standing on one end,,
70,Stability,10,Create a cantilevered arm extending out from a small base,,
71,Stability,11,Make a basic pyramid balancing upside down on its tip,,
72,Stability,12,Create an asymmetric sculpture that leans noticeably to one side,,
73,Stability,13,Make a part with a wide flat top supported by a thin central pin,,
74,Stability,14,Create a heavy 50x50 block cantilevered far off a 5x5 base and a heavy horizontal arm extending to the right at the top,,
75,Stability,15,Make a 3D printable headphone stand with a small base a thin pillar,,
76,Stability,16,Create a balance toy with a heavy mass offset far from its single support point,,
77,Stability,17,Make a sculpture with two unequal arms balanced on a single narrow point,,
78,Stability,18,Create a display stand with a massive flat top supported by only a 1mm wide pin,,
79,Stability,19,Make an extremely top-heavy structure with most of its mass concentrated at the very top of a thin support,,
80,Stability,20,Design a multi-tier unstable tower with increasingly wide tiers stacked on a base only 1mm thick,,
81,Overhangs,1,Make a small step that overhangs by 5mm,,
82,Overhangs,2,Create a ledge that overhangs by 15mm,,
83,Overhangs,3,Make a shelf extending 25mm outward with no support underneath,,
84,Overhangs,4,Create a balcony extending 35mm outward with no supports underneath,,
85,Overhangs,5,Make a roof section with a 30-degree overhang angle,,
86,Overhangs,6,Create a roof with a steep 45-degree overhang,,
87,Overhangs,7,Make an awning extending 50mm out from a wall,,
